scenario,controller,avg_waiting_time_seconds,avg_queue_length_vehicles,max_queue_length_vehicles,max_avg_waiting_time_seconds,throughput_vehicles,throughput_veh_per_hour,simulation_duration_seconds,sample_count
light_seed1,fixed_timer,9.886710338684694,4.256082520461758,30.0,66.55,240.0,968.718466195762,891.9,17839.0
light_seed1,vac,1.3074728506545565,2.1298028832008997,24.0,12.872,240.0,1016.7696381288615,849.7499999999999,16996.0
light_seed1,ai,2.5568295606465004,3.107565560454817,30.0,18.19,240.0,1002.5527964724995,861.8,17237.0
normal_traffic_seed1,fixed_timer,6.300151363253867,11.824074591033837,26.0,70.15,682.0,2741.555468706382,895.55,17912.0
normal_traffic_seed1,vac,19.333224824371204,22.261573007830286,42.0,49.48148148148148,682.0,2827.2685398433905,868.4,17369.0
normal_traffic_seed1,ai,2.1075082419403195,7.620637681159424,21.0,7.3881578947368425,682.0,2846.6086956521744,862.4999999999999,17251.0
balanced_seed1,fixed_timer,10.265045860321454,10.109659408152133,30.0,64.475,456.0,1833.1658291457288,895.4999999999999,17911.0
balanced_seed1,vac,2.9147146480283035,5.166938775509955,24.0,15.450000000000001,456.0,1914.4023323615163,857.4999999999999,17151.0
balanced_seed1,ai,2.5562421257945656,5.57667778362886,30.0,9.11470588235294,456.0,1921.0110584518168,854.55,17092.0
heavy_seed1,fixed_timer,17.381123552978398,44.93053539910119,108.0,70.00833333333334,888.0,2507.7858403608557,1274.7499999999998,25496.0
heavy_seed1,vac,8.6924668283613,20.933959562402386,53.0,28.752,888.0,3662.0654103900574,872.9499999999999,17460.0
heavy_seed1,ai,3.1699558939734245,14.87480000000049,35.0,11.526470588235295,888.0,3653.4857142857145,874.9999999999999,17501.0
rush_hour_seed1,fixed_timer,13.111622067132789,44.937075002536254,118.0,67.6,920.0,3361.4127676849694,985.3,19707.0
rush_hour_seed1,vac,21.18275084707435,58.927755460707345,136.0,66.1359477124183,920.0,4157.670097916144,796.5999999999999,15933.0
rush_hour_seed1,ai,5.576676655034985,45.52614251437083,103.0,12.997457627118644,920.0,3696.222309022934,896.05,17922.0
extreme_seed1,fixed_timer,18.447441487189227,63.492434541044666,115.0,71.91666666666667,1200.0,2553.3423961227027,1691.8999999999999,33839.0
extreme_seed1,vac,13.251532122337185,49.60010976948468,91.0,32.728095238095236,1200.0,4742.041712403952,910.9999999999999,18221.0
extreme_seed1,ai,5.434487358074036,56.83075563411413,114.0,12.07748538011696,1200.0,4242.156429518339,1018.3499999999999,20368.0
